city;Latitude;Longitude
Geleen;50.9667;5.8333
Thorn;51.1667;5.8333
Elburg;52.45;5.8333
Limbricht;51.0117;5.8369
Elst;51.9156;5.8378
Spaubeek;50.9378;5.8414
Heumen;51.7656;5.8433
Oosterbeek;51.9847;5.8444
Stevensweert;51.1292;5.8483
Nijmegen;51.8425;5.8528
Malden;51.7808;5.8544
Hulsberg;50.8883;5.8553
Grathem;51.1925;5.8578
Haps;51.6886;5.8608
Slenaken;50.7678;5.8622
Sittard;51;5.8667
Lent;51.8631;5.8667
Strucht;50.85;5.8667
Schin op Geul;50.8542;5.8694
Echt;51.1058;5.8706
Cuijk;51.7269;5.8794
Baexem;51.2244;5.88
Sint Anthonis;51.6258;5.8811
Mook;51.7525;5.8817
Klimmen;50.8764;5.8819
Maasbracht;51.15;5.8833
Meijel;51.35;5.8833
Broeksittard;51;5.8833
Nuth;50.9175;5.8861
Gulpen;50.8156;5.8886
Schinnen;50.9428;5.8894
Bemmel;51.8917;5.8958
Heel;51.1806;5.8964
Blankenham;52.7647;5.8964
Heythuysen;51.2496;5.8983
Kampen;52.55;5.9
Oirsbeek;50.9489;5.9089
Wittem;50.8133;5.9122
Arnhem;51.9833;5.9167
Oldebroek;52.4667;5.9167
Ubbergen;51.8333;5.9167
Amstenrade;50.9383;5.9222
Beek-Ubbergen;51.8292;5.9258
Roggel;51.2625;5.9269
Voerendaal;50.8825;5.9272
IJsselmuiden;52.5647;5.9275
Heerenveen;52.95;5.9333
Hoensbroek;50.9167;5.9333
Groesbeek;51.7833;5.9333
Huissen;51.9333;5.9333
Grafhorst;52.5825;5.9339
Linne;51.1542;5.9392
Merkelbeek;50.9542;5.9403
Jabeek;50.9808;5.9417
Boxmeer;51.6483;5.9444
Montfort;51.1261;5.9486
Haelen;51.2358;5.9547
Nunhem;51.2447;5.9611
Blokzijl;52.7264;5.9617
Herten;51.1803;5.9633
Sambeek;51.6361;5.9661
Brunssum;50.95;5.9667
Westervoort;51.9667;5.9667
Rozendaal;52;5.9667
Vaassen;52.2881;5.9694
Apeldoorn;52.21;5.97
Gendt;51.8769;5.9725
Gennep;51.6942;5.9733
Venray;51.5258;5.9747
Velp;51.9947;5.9758
Schinveld;50.9678;5.9803
Simpelveld;50.8339;5.9814
Panningen;51.3275;5.9817
Buggenum;51.2314;5.9825
Heerlen;50.8833;5.9833
Epe;52.3464;5.9842
Roermond;51.1933;5.9872
Neer;51.2614;5.9917
Burgum;53.1922;5.9942
DamwÃ¢ld;53.29;5.9957
Wolvega;52.8755;5.9969
Dokkum;53.3253;5.9989
Helden;51.3167;6
Sint OdiliÃ«nberg;51.1425;6.0017
Rheden;52;6.0167
Vaals;50.7694;6.0181
Duiven;51.9472;6.0211
Landgraaf;50.9083;6.0297
Swalmen;51.2333;6.0333
Sevenum;51.4167;6.0333
Heerde;52.3833;6.0333
Bergen;51.5992;6.0336
Hegelsom;51.44;6.0375
Pannerden;51.89;6.0378
Posterholt;51.1219;6.0378
Beesel;51.2669;6.0392
Nieuwenhagen;50.9039;6.04
Maasbree;51.35;6.05
Millingen aan de Rijn;51.8667;6.05
Ubach over Worms;50.9158;6.0517
Kessel;51.2919;6.0533
Horst;51.4514;6.0536
Eygelshoven;50.8925;6.0592
De Steeg;52.0197;6.0608
Steenwijkerwold;52.8036;6.0617
Nijbroek;52.2928;6.0625
Oosterend;53.0036;6.0664
Kerkrade;50.8667;6.0667
Hattem;52.4744;6.0697
Zwartsluis;52.6419;6.0703
Vlodrop;51.1333;6.0739
Wanssum;51.5358;6.0753
Giethoorn;52.7397;6.0775
Beetsterzwaag;53.0611;6.0775
Reuver;51.285;6.0792
Zevenaar;51.9167;6.0833
Meerlo;51.5119;6.0856
Rimburg;50.9169;6.0867
Veessen;52.3761;6.0892
Hasselt;52.5908;6.0911
Zwolle;52.5125;6.0944
Dieren;52.0521;6.0974
Drachten;53.1;6.1
Hall;52.11;6.1014
Twello;52.2333;6.1022
Zuidveen;52.7769;6.1083
Olst;52.3378;6.1108
Belfeld;51.31;6.1144
Steenwijk;52.7833;6.1167
Lobith;51.8617;6.1181
Wanneperveen;52.7044;6.1206
Didam;51.9333;6.1333
Doesburg;52.0167;6.1333
Wijhe;52.3864;6.1333
Tegelen;51.3422;6.1364
Grubbenvorst;51.4189;6.1431
Wilp;52.2186;6.1497
Diepenveen;52.2894;6.15
Buitenpost;53.25;6.15
Brummen;52.0833;6.15
Kollum;53.2792;6.1508
Broekhuizen;51.4853;6.1633
Nijeveen;52.7328;6.1675
Velden;51.4117;6.1678
Venlo;51.37;6.1681
Steenderen;52.0667;6.1833
Meppel;52.6958;6.1944
Zutphen;52.14;6.195
Deventer;52.25;6.2
Staphorst;52.6333;6.2
Gorssel;52.2;6.2
Schiermonnikoog;53.4892;6.2022
Vledder;52.8556;6.2103
Heino;52.4358;6.2339
Havelte;52.7739;6.2383
Dalfsen;52.5064;6.2606
Marum;53.1442;6.2678
Grootegast;53.2093;6.2711
Raalte;52.3828;6.2828
Nieuwleusen;52.5833;6.2833
Bathmen;52.25;6.2869
Doetinchem;51.9656;6.2889
Veenoord;52.9875;6.2914
Oosterwolde;52.9903;6.2914
Harfsen;52.2075;6.2972
Hengelo;52.05;6.3
Netterden;51.8544;6.3142
Wisch;51.9333;6.3167
Vorden;52.1;6.3167
Diever;52.8556;6.3175
Ulrum;53.3589;6.3331
Etten;51.9167;6.3364
Oldekerk;53.2194;6.3389
Zelhem;52.0067;6.3486
Ruinen;52.7633;6.3564
Terborg;51.9203;6.3575
